"binomial","ID","mean_HFI","max_HFI","Native_forest","Pasture","Water","Agriculture","Forestry","Development"
"Tapirus_terrestris","Ariel",0.212068884553872,0.381994128227234,"58.19","27.46","14.35","0","0","0"
"Tapirus_terrestris","Berinjela",0.162312744811362,0.326257705688477,"32.59","24.85"," 0.00","42.56","0","0"
"Tapirus_terrestris","Carminha",0.201662762396218,0.27120965719223,"79.04","15.49"," 5.46","0","0","0"
"Tapirus_terrestris","Darro",0.089713609944485,0.338130801916122,"59.45"," 5.51"," 0.00","35.03"," 0.00","0"
"Tapirus_terrestris","Durodematar",0.777825429277837,0.848426938056946,"75.42"," 5.68"," 2.10"," 0.08","0","16.71"
"Tapirus_terrestris","Farofo",0.274843002398171,0.381994128227234,"61.14","23.59","15.28","0","0","0"
"Tapirus_terrestris","Fernanda",0.0898969846051896,0.326257705688477,"61.59"," 5.46","0","32.95"," 0.00","0"
"Tapirus_terrestris","Jilo",0.148340308670473,0.338130801916122,"42.35","11.91"," 0.00","45.74"," 0.00","0"
"Tapirus_terrestris","Kibou",0.0965748440884463,0.326257705688477,"67.09"," 8.39"," 0.00","24.53","0","0"
"Tapirus_terrestris","Krishna",0.172216397273903,0.674945592880249,"61.72"," 2.74"," 1.43","0","0","34.11"
"Tapirus_terrestris","Leo",0.0545579909623461,0.338130801916122,"65.98"," 3.91"," 0.43","29.67"," 0.01","0"
"Tapirus_terrestris","Luigi",0.186074272050045,0.338130801916122,"29.49"," 2.06"," 0.06","68.39","0","0"
"Tapirus_terrestris","Manga",0.215197715175849,0.338130801916122," 5.46","56.77"," 3.35","34.42"," 0.00","0"
"Tapirus_terrestris","Pamonha",0.169073190716378,0.338130801916122,"38.44"," 9.54"," 0.08","51.93"," 0.01","0"
"Tapirus_terrestris","Querencia",0.085311391886166,0.326257705688477,"69.43"," 4.11","0","26.46"," 0.00","0"
"Tapirus_terrestris","Rupert",0.2348849412749,0.396087825298309,"53.18","30.27","16.55","0","0","0"
"Tapirus_terrestris","Sasha",0.167927587429365,0.338130801916122,"14.41","16.40"," 0.01","68.92"," 0.26","0"
"Tapirus_terrestris","Wie",0.255691029775583,0.396087825298309,"57.57","25.85","16.58","0","0","0"
"Tapirus_terrestris","William",0.226178588815896,0.367084205150604,"78.53","17.83"," 3.65","0","0","0"
"Tapirus_terrestris","Zetrovao",0.175227632077728,0.338130801916122,"59.96"," 2.80"," 0.01","37.24"," 0.00","0"
